inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,3,355,37,625,2025-04-10
2,1,3,11,41,,2025-03-12
3,,4,411,50,254,2026-02-28
4,,4,150,31,726,2026-11-03
5,,3,301,43,767,2025-05-30
6,4,100000,,48,902,2024-03-14
7,100003,1,113,39,703,
8,5,1,318,24,224,2026-01-06
9,6,,353,23,688,2024-08-19
10,6,,261,43,381,2025-02-13
11,7,1,381,43,669,2024-07-25
12,7,3,9,22,853,
13,8,1,84,,559,2025-07-23
14,8,2,336,12,229,2024-09-18
15,9,4,368,20,707,2025-06-26
16,9,100003,273,,217,20 Aug 2024
17,9,4,121,11,595,2026-01-04
18,10,5,356,21,812,2024-11-30
19,11,3,255,47,444,2025-07-28
20,12,5,,19,961,2025-03-07
21,13,,403,37,541,2025-04-19
22,13,4,477,40,541,2025-09-01
23,14,2,273,20,741,2024-07-25
24,,2,363,25,882,09/09/2024
25,15,,426,46,691,2025-02-14
26,15,4,192,47,609,
27,16,3,175,10,559,2025-11-04
28,17,2,61,38,497,2025-09-15
29,17,1,384,42,479,2025-07-05
30,18,5,372,39,,2024-05-16
31,18,2,426,21,468,2024-10-03
32,19,4,,24,437,2024-06-05
33,19,4,287,29,831,2024-04-01
34,20,3,N/A,10,922,2025-05-23
35,20,100002,120,19,842,
36,20,1,451,26,426,
34,20,3,370,10,922,2025-05-23 00:24:33
