order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,5,3,382.69,1148.07
2,1,7,1,134.34,134.34
3,1,17,,474.18,1896.72
4,2,19,3,32.96,98.88
5,2,14,4,99.59,398.36
6,2,19,1,32.96,32.96
7,3,15,1,461.56,
8,4,4,3,419.68,1259.04
9,4,17,4,474.18,-1896.72
10,4,12,4,495.48,1981.92
11,4,,1,419.68,419.68
12,5,10,3,262.09,
13,5,15,5,461.56,2307.8
14,6,10,2,262.09,524.18
15,6,13,3,383.41,1150.23
16,6,10,1,262.09,262.09
17,6,8,1,86.66,86.66
18,7,,3,,986.49
19,7,14,5,99.59,497.95
20,8,6,3,9.07,27.21
21,9,9,2,351.49,
22,9,3,1,494.69,494.69
23,9,7,3,134.34,403.02
24,9,14,4,99.59,398.36
25,10,5,4,382.69,1530.76
26,11,100004,2,382.69,765.38
27,,15,3,,1384.68
28,11,19,2,32.96,65.92
29,,6,3,9.07,27.21
30,12,17,,474.18,2370.9
31,12,8,1,86.66,86.66
32,12,10,4,262.09,1048.36
33,12,100008,5,351.49,1757.45
34,12,18,3,50.23,150.69
35,13,17,5,474.18,2370.9
36,,11,3,328.83,986.49
37,13,8,4,86.66,346.64
38,14,8,1,86.66,86.66
39,14,8,4,,
40,14,5,2,-382.69,765.38
41,14,,2,262.1,524.2
42,14,12,1,495.48,495.48
43,15,18,4,50.23,200.92
44,15,100006,2,134.34,268.68
45,16,17,4,474.18,1896.72
46,,4,1,419.68,419.68
47,17,15,4,461.56,1846.24
48,17,6,2,3909.17,18.14
49,18,1,5,459.33,2296.65
50,100017,6,5,9.07,45.35
51,19,12,,495.48,2477.4
52,19,10,1,262.09,262.09
53,19,19,1,,32.96
54,19,2,3,262.1,786.3
55,20,,4,328.83,1315.32
56,20,18,4,N/A,200.92
57,20,4,4,419.68,1678.72
58,20,3,4,494.69,1978.76
59,21,8,2,86.66,173.32
60,21,13,1,383.41,383.41
61,21,5,1,382.69,382.69
62,22,10,,262.09,262.09
63,23,9,2,351.49,702.98
64,23,3,1,494.69,494.69
65,23,14,3,99.59,298.77
66,23,16,3,216.39,649.17
67,24,2,,262.1,786.3
68,24,,3,9.07,27.21
69,24,11,-5,328.83,1644.15
70,100023,15,1,461.56,461.56
71,25,17,,474.18,
72,26,8,2,86.66,173.32
73,26,16,2,216.39,432.78
74,26,,1,494.69,494.69
75,26,13,2,383.41,766.82
76,27,,5,419.68,2098.4
77,28,3,1,494.69,494.69
78,28,14,4,99.59,398.36
79,28,5,1,382.69,382.69
80,28,20,2,419.18,838.36
81,28,17,4,474.18,
82,,16,2,216.39,432.78
83,29,,2,262.1,524.2
84,29,16,2,216.39,432.78
85,29,4,5,419.68,2098.4
86,30,3,4,494.69,1978.76
87,30,7,0,134.34,134.34
88,30,14,5,99.59,497.95
89,31,20,,419.18,419.18
90,31,15,5,461.56,2307.8
91,31,6,1,9.07,
92,31,9,1,351.49,351.49
93,31,11,3,328.83,986.49
94,32,3,2,494.69,989.38
95,32,15,,461.56,461.56
96,32,3,5,494.69,2473.45
97,33,17,4,474.18,1896.72
98,33,15,1,461.56,121851.84
99,34,20,1,419.18,419.18
100,34,20,5,419.18,2095.9
101,34,14,0,99.59,398.36
102,,100005,3,9.07,27.21
103,35,4,2,419.68,839.36
104,36,10,5,,1310.45
105,36,1,4,459.33,1837.32
106,36,12,1,495.48,495.48
107,36,13,,383.41,1533.64
108,37,15,5,461.56,2307.8
109,37,16,1,216.39,216.39
110,37,11,3,328.83,986.49
111,37,4,2,419.68,839.36
112,,16,1,216.39,216.39
113,38,6,1,9.07,9.07
114,38,18,2,50.23,100.46
115,39,12,4,495.48,
116,39,4,2,419.68,839.36
117,40,9,5,351.49,
118,40,1,5,459.33,2296.65
119,40,3,3,494.69,1484.07
120,40,18,3,50.23,150.69
121,40,14,4,99.59,398.36
122,41,,3,494.69,
123,41,3,2,494.69,989.38
124,42,18,1,50.23,50.23
125,42,19,0,32.96,65.92
126,43,13,-2,383.41,766.82
127,43,12,1,495.48,495.48
128,43,5,4,382.69,-1530.76
129,43,16,3,216.39,649.17
130,43,18,,50.23,100.46
131,100043,3,3,494.69,1484.07
132,44,6,1,9.07,9.07
133,44,,,328.83,1644.15
134,45,5,3,382.69,1148.07
135,46,2,5,262.1,1310.5
136,46,7,2,,268.68
137,46,19,4,,131.84
138,46,,1,99.59,99.59
139,46,,3,99.59,298.77
140,47,16,4,216.39,865.56
141,47,10,4,262.09,1048.36
142,47,100018,3,32.96,98.88
143,47,17,,474.18,
144,47,7,1,134.34,134.34
145,48,7,1,134.34,134.34
146,48,6,1,9.07,4208.4800000000005
147,49,100010,,328.83,657.66
148,50,20,1,419.18,419.18
149,50,4,3,419.68,1259.04
150,51,,1,383.41,383.41
151,51,2,2,262.1,524.2
152,52,11,3,328.83,986.49
153,52,2,4,262.1,1048.4
154,53,4,3,419.68,1259.04
155,54,9,4,351.49,1405.96
156,54,,4,50.23,200.92
157,54,12,5,495.48,2477.4
158,54,19,,32.96,131.84
159,54,20,4,,1676.72
160,55,11,1,328.83,328.83
161,55,19,3,32.96,98.88
162,55,6,4,9.07,36.28
163,56,17,2,474.18,948.36
164,,11,4,328.83,1315.32
165,57,3,3,494.69,
166,57,4,5,419.68,2098.4
167,57,100014,5,461.56,2307.8
168,57,,3,262.1,786.3
169,58,13,5,383.41,1917.05
170,58,6,2,9.07,18.14
171,59,16,3,216.39,649.17
172,60,14,735,99.59,
173,60,16,2,216.39,
174,61,,5,495.48,2477.4
175,62,,5,32.96,164.8
176,62,14,3,99.59,298.77
177,62,1,4,459.33,1837.32
178,62,14,4,99.59,
179,62,6,4,9.07,36.28
180,63,2,2,262.1,524.2
181,63,7,2,134.34,268.68
182,63,15,2,461.56,923.12
183,64,13,1,383.41,383.41
184,,11,4,328.83,1315.32
185,64,18,3,50.23,150.69
186,65,9,5,351.49,1757.45
187,66,4,3,419.68,1259.04
188,66,3,3,494.69,1484.07
189,66,1,2,459.33,918.66
190,67,18,2,50.23,100.46
191,68,7,1,134.34,134.34
192,68,10,5,262.09,1310.45
193,100067,12,5,495.48,2477.4
194,68,16,2,216.39,432.78
195,68,14,2,99.59,199.18
196,69,5,4,382.69,
197,69,1,4,459.33,
198,70,20,2,419.18,838.36
199,71,5,4,382.69,1530.76
200,71,7,,134.34,537.36
201,72,5,4,382.69,1530.76
202,72,11,4,328.83,1315.32
203,72,16,1,216.39,216.39
204,72,11,,328.83,657.66
205,72,13,5,383.41,1917.05
206,,13,,383.41,383.41
207,73,100007,5,86.66,433.3
208,73,18,2,50.23,100.46
209,74,9,2,0,702.98
210,,19,3,32.96,98.88
211,74,17,1,474.18,474.18
212,74,16,2,216.39,432.78
213,74,18,1,50.23,50.23
214,75,20,3,419.18,1257.54
215,75,15,2,461.56,923.12
216,75,7,5,N/A,671.7
217,75,1,2,459.33,918.66
218,76,8,5,86.66,433.3
219,77,13,1,383.41,383.41
220,77,,3,216.39,649.17
221,77,5,1,382.69,382.69
222,77,19,3,32.96,98.88
223,77,8,5,86.66,433.3
224,78,,,494.69,2473.45
225,78,6,,9.07,36.28
226,78,20,3,419.18,1257.54
227,78,13,2,383.41,766.82
228,,17,1,474.18,474.18
229,79,20,4,419.18,1676.72
230,79,14,5,99.59,
231,80,8,1,86.66,86.66
232,80,9,5,351.49,1757.45
233,80,20,4,,
234,80,2,2,262.1,
235,80,16,1,216.39,216.39
236,81,,3,459.33,1377.99
237,100080,,4,382.69,1530.76
238,81,4,5,419.68,2098.4
239,81,1,5,459.33,2296.65
240,82,20,,0,838.36
241,83,13,4,383.41,1533.64
242,83,8,,86.66,259.98
243,84,3,3,494.69,1484.07
244,84,15,2,461.56,923.12
245,84,19,1,32.96,32.96
246,,20,2,419.18,838.36
247,85,10,2,262.09,524.18
248,85,20,1,419.18,419.18
249,,15,3,461.56,1384.68
250,85,17,2,474.18,948.36
251,86,10,3,,786.27
252,87,3,2,494.69,989.38
253,87,,5,216.39,1081.95
254,87,1,3,459.33,1377.99
255,88,,,419.18,
256,88,9,3,,1054.47
257,88,16,1,216.39,216.39
258,88,6,1,9.07,9.07
259,88,,4,351.49,1405.96
260,89,12,1,,495.48
261,90,13,3,383.41,1150.23
262,90,11,2,328.83,657.66
263,90,18,4,50.23,168370.96
264,90,2,4,262.1,
265,90,4,1,,419.68
266,91,18,1,,50.23
267,92,1,3,459.33,1377.99
268,92,20,1,419.18,
269,,12,,495.48,495.48
270,92,6,2,9.07,18.14
271,92,4,1,419.68,419.68
272,93,19,3,,98.88
273,93,13,3,383.41,1150.23
274,93,1,5,459.33,2296.65
275,93,100017,4,50.23,200.92
276,94,5,2,382.69,765.38
277,94,9,4,351.49,1405.96
278,94,11,4,,1315.32
279,94,16,1,216.39,216.39
280,95,8,1,86.66,86.66
281,95,4,4,419.68,1678.72
282,95,5,2,382.69,765.38
283,95,15,3,461.56,
284,96,1,3,459.33,1377.99
285,100095,4,3,419.68,1259.04
286,,100002,3,494.69,1484.07
287,96,6,3,9.07,27.21
288,96,12,,495.48,2477.4
289,97,5,4,,1530.76
290,97,9,1,351.49,351.49
291,98,18,3,50.23,
292,98,2,,262.1,262.1
293,98,100015,5,216.39,1081.95
294,99,,2,262.1,524.2
295,100,9,3,351.49,1054.47
161,55,19,3,32.96,98.88
47,17,15,4,461.56,1846.24
207,73,100007,5,86.66,433.3
167,57,15,5,461.56,2307.8
204,72,11,,328.83,657.66
64,23,3,1,494.69,494.69
235,80,16,1,216.39,216.39
268,92,20,1,419.18,
