order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
1,ORD-20250317-00001,31,2025-03-17,entregado,3179.13,0,270,667.62,4116.75,cash_on_delivery,standard,,
2,ORD-20230505-00002,23,2023-05-05,,530.2,5,460,111.34,1075.03,paypal,express,,
3,ORD-20240803-00003,13,2024-08-03,cancelado,461.56,8,10,96.93,531.57,bank_transfer,standard,8,
4,,3,2025-05-24,pendiente,5557.36,19,370,1167.05,6038.51,debit_card,pickup,,
5,ord-20250330-00005,100011,2025-03-30,cancelado,3094.07,6,0,649.75,3558.18,bank_transfer,same_day,,
6,ORD-20240301-00006,5,,entregado,2023.16,12,110,,2315.24,debit_card,express,,
7,ORD-20240216-00007,,2024-02-16,entregado,1484.44,18,300,311.73,1828.97,bank_transfer,pickup,,
8,ORD-20240524-00008,28,2024-05-24,enviado,27.21,12,0,5.71,29.65,paypal,same_day,100000,
9,ord-20230805-00009,3,,procesando,1999.05,12,400,419.8,2578.96,credit_card_v2,pickup,,Nota del cliente: Dejar en portería
10,ORD-20230706-00010,24,2023-07-06,entregado,1530.76,20,,321.46,365645.79,paypal,pickup,,
11,ORD-20250210-00011,15,2025-02-10,entregado,,10,80,471.07,2569.94,bank_transfer,standard,,
12,ORD-20250824-00012,1,08/24/2025,cancelado,5414.06,19,210,1136.95,5732.34,credit_card,express,,
13,ORD-20240522-00013,11,2024-05-22,pendiente_v2,3704.03,1,400,777.85,4844.84,cash_on_delivery,,,
14,,26,2023-04-28,enviado,2218.36,0,210,465.86,2894.22,bank_transfre,same_day,,
15,ORD-20240428-00015,28,2024-04-28,procesando,469.6,0,430,98.62,998.22,cash_on_delivery,standard,,
16,ORD-20240922-00016,31,,procesando,2316.4,18,,486.44,2795.89,paypla,express,,
17,ORD-20230226-00017,2,2023-02-26,entregado,1864.38,16,450,391.52,2407.6,cash_on_delivery,express,2,Nota del cliente: Envolver para regalo
18,ORD-20230530-00018,1,2023-05-30,enviado,2342,10,380,491.82,2979.62,bank_transfer,,,
19,ORD-20250801-00019,29,2025-08-01,entregado,3558.75,6,-310,747.34,N/A,,same_day,,
20,ORD-20260108-00020,21,2026-01-08,,5173.72,0,330,1086.48,6590.2,paypal,pickup,,
21,ORD-20230607-00021,15,2023-06-07,,N/A,16,N/A,197.28,1426.39,paypal,standard,3,Nota del cliente: Envolver para regalo
22,ORD-20230528-00022,100012,2023-05-28,cancelado,262.09,16,460,55.04,735.2,,standard,,
23,ORD-20231007-00023,15,,procesando,2145.61,2,210,450.58,2763.28,credit_card,pickup,,
