product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Max Widget 1,Descripción detallada del producto 1,5,1,1,459.33,266.41,12.7,true,,2025-11-27
2,SKU-000002,Premium Gadget 2,,,11,,262.1,178.23,17.3,true,2023-08-28,2026-03-07
3,,Mini Dispositivo 3,Descripción detallada del producto 3,9,14,6,494.69,267.13,1.5,,2022-12-08,2024-05-09
4,sku-000004,Ultra Artículo 4,Descripción detallada del producto 4,2,4,3,419.68,205.64,36.4,true,2022-11-01,2026-04-30
5,SKU-000005,Mini Pack 5,Descripción detallada del producto 5,2,9,4,382.69,168.38,12.3,true,2023-05-20,2025-08-15
6,SKU-000006,Smart Kit 6,,7,4,1,9.07,5.62,9.4,true,2023-06-09,"Apr 21, 2026"
7,SKU-000007,Ultra Producto 7,descripción detallada del producto 7,7,8,6,134.34,60.45,13.1,true,2023-09-09,2024-03-12
8,SKU-000008,Max Gadget 8,Descripción detallada del producto 8,5,1,3,86.66,48.53,9.5,true,2026-08-30,2025-04-30
9,SKU-000009,Mega Kit 9,Descripción detallada del producto 9,9,7,6,351.49,,23990.4,true,2022-11-12,2026-01-03
10,SKU-000010,Premium Producto 10,Descripción detallada del producto 10,6,8,5,262.09,157.25,43.7,true,2023-02-12,2025-12-15
11,SKU-000011,Ultra Pack 11,Descripción detallada del producto 11,6,9,8,328.83,194.01,33.1,true,2022-10-27,2024-09-09
12,SKU-000012,Pro Equipo 12,Descripción detallada del producto 12,4,13,1,495.48,242.79,,true,2023-08-10,2025-11-15
13,SKU-000013,Básico Set 13,Descripción detallada del producto 13,4,6,7,383.41,253.05,18.7,true,2023-09-30,2025-07-17
14,SKU-000014,Ultra Herramienta 14,Descripción detallada del producto 14,1,2,6,99.59,55.77,4.7,true,2022-05-17,30-10-2025
15,SKU-000015,Super Dispositivo 15,,10,1,4,461.56,230.78,29.5,true,2023-08-12,2025-06-08
16,SKU-000016,,,8,,6,216.39,93.05,47.3,true,2023-11-18,2024-06-02
17,SKU-000017,Premium Herramienta 17,Descripción detallada del producto 17,7,2,5,474.18,213.38,14.7,true,2022-09-10,2026-02-16
18,SKU-000018,,Descripción detallada del producto 18,8,6,7,50.23,23.61,48.6,true,,2024-02-25
19,SKU-000019,Max Artículo 19,Descripción detallada del producto 19,1,2,4,32.96,21.09,35.9,true,2022/12/11,2024-04-06
20,SKU-000020,Ultra Herramienta 20,Descripción detallada del producto 20,,,8,419.18,188.63,7.6,true,2022-12-23,2026-06-13
20,SKU-000020,Ultra Herramienta 20,Descripción detallada del producto 20,,,8,419.18,0,7.6,true,2022-12-23,2026-06-13 00:08:05
