mes,total_amount
1970-01,32187.260000000002
2023-02,2479.8399999999997
2023-03,779.71
2023-04,5674.42
2023-05,15099.15
2023-06,5275.92
2023-07,367059.01999999996
2023-08,0.0
2023-09,6437.07
2023-10,4838.25
2023-11,5187.79
2023-12,8807.9
2024-02,2630.39
2024-03,10881.779999999999
2024-04,2767.0699999999997
2024-05,14127.61
2024-06,9255.24
2024-07,1754.82
2024-08,2438.65
2024-09,11119.41
2024-10,2909.45
2024-11,2075.32
2024-12,13096.96
2025-02,7369.81
2025-03,13976.71
2025-04,6901.13
2025-05,6163.37
2025-07,9213.36
2025-08,7465.18
2025-09,8858.220000000001
2025-10,7691.34
2025-11,7903.39
2026-01,6590.2
2026-02,2525.63
2026-03,6368.56
2026-04,6771.09
2026-05,5981.66
2026-07,1985.74
2027-03,2353.52
